tempbeta	mu	density	err	doublon	err	
3.9526e+00	7.1760e-01	1.7985e+00	2.7197e-04	8.0140e-01	2.7286e-04	
3.9526e+00	7.5780e-01	1.8233e+00	5.3107e-04	8.2543e-01	5.3242e-04	
3.9526e+00	7.9800e-01	1.8468e+00	2.3757e-04	8.4844e-01	2.3798e-04	
3.9526e+00	8.3820e-01	1.8660e+00	3.6195e-04	8.6725e-01	3.6237e-04	
3.9526e+00	8.7840e-01	1.8833e+00	3.7287e-04	8.8421e-01	3.7322e-04	
3.9526e+00	9.1860e-01	1.8994e+00	2.0467e-04	9.0011e-01	2.0479e-04	
3.9526e+00	9.5880e-01	1.9130e+00	2.2028e-04	9.1345e-01	2.2036e-04	
3.9526e+00	9.9900e-01	1.9248e+00	2.8360e-04	9.2518e-01	2.8368e-04	
3.9526e+00	1.0392e+00	1.9348e+00	6.4947e-05	9.3503e-01	6.4950e-05	
3.9526e+00	1.0794e+00	1.9442e+00	1.8292e-04	9.4444e-01	1.8295e-04	
3.9526e+00	1.1196e+00	1.9522e+00	1.0703e-04	9.5234e-01	1.0704e-04	
3.9526e+00	1.1598e+00	1.9590e+00	1.3462e-04	9.5907e-01	1.3463e-04	
3.9526e+00	1.2000e+00	1.9648e+00	1.2707e-04	9.6492e-01	1.2708e-04	
3.9526e+00	1.2402e+00	1.9698e+00	2.1226e-04	9.6990e-01	2.1226e-04	
3.9526e+00	1.2804e+00	1.9741e+00	7.7162e-05	9.7419e-01	7.7163e-05	
3.9526e+00	1.3206e+00	1.9780e+00	5.8770e-05	9.7808e-01	5.8768e-05	
3.9526e+00	1.3608e+00	1.9811e+00	6.0882e-05	9.8113e-01	6.0882e-05	
3.9526e+00	1.4010e+00	1.9838e+00	3.4713e-05	9.8378e-01	3.4713e-05	
3.9526e+00	1.4412e+00	1.9861e+00	8.6438e-05	9.8615e-01	8.6437e-05	
3.9526e+00	1.4814e+00	1.9882e+00	3.5986e-05	9.8821e-01	3.5985e-05	
3.9526e+00	1.5216e+00	1.9899e+00	2.9744e-05	9.8994e-01	2.9744e-05	
3.9526e+00	1.5618e+00	1.9914e+00	4.6600e-05	9.9138e-01	4.6599e-05	
3.9526e+00	1.6020e+00	1.9926e+00	1.9803e-05	9.9264e-01	1.9802e-05	
3.9526e+00	1.6422e+00	1.9937e+00	1.7790e-05	9.9373e-01	1.7790e-05	
3.9526e+00	1.6824e+00	1.9947e+00	2.2779e-05	9.9465e-01	2.2779e-05	
3.9526e+00	1.7226e+00	1.9954e+00	1.7163e-05	9.9542e-01	1.7162e-05	
3.9526e+00	1.7628e+00	1.9961e+00	1.1692e-05	9.9609e-01	1.1692e-05	
3.9526e+00	1.8030e+00	1.9967e+00	1.2217e-05	9.9667e-01	1.2217e-05	
3.9526e+00	1.8432e+00	1.9971e+00	1.2091e-05	9.9715e-01	1.2091e-05	
3.9526e+00	1.8834e+00	1.9976e+00	1.2269e-05	9.9756e-01	1.2269e-05	
3.9526e+00	1.9236e+00	1.9979e+00	6.0070e-06	9.9792e-01	6.0070e-06	
3.9526e+00	1.9638e+00	1.9982e+00	4.3470e-06	9.9822e-01	4.3470e-06	
